_id,actual_price,average_rating,brand,category,crawled_at,description,discount,images,out_of_stock,pid,product_details,seller,selling_price,sub_category,title,url
ed89e6de-0339-500a-bb56-03f7b558d9b4,"1,989",2.8,A,Clothing and Accessories,"02/11/2021, 00:35:16",ATM DENIM SHIRT FULL SLEEVE DENIM SHIRT,55% off,"['https://rukminim1.flixcart.com/image/128/128/k0lbdzk0/shirt/z/d/b/xl-tm-013-db-h-s-shirt-atm-original-imafj2g5457k36bs.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/jyyqc280/shirt/z/d/b/m-tm-013-db-h-s-shirt-atm-original-imafj2g4wjwnqfbu.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/k0lbdzk0/shirt/z/d/b/xl-tm-013-db-h-s-shirt-atm-original-imafj2g5ngtugzk4.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/k0lbdzk0/shirt/z/d/b/xl-tm-013-db-h-s-shirt-atm-original-imafj2g5fgdzya7y.jpeg?q=70']",FALSE,SHTFJ2GMHK5ZTZDB,"[{'Pack of': '1'}, {'Model Name': 'ATM_030_DB_F/S'}, {'Style Code': 'TM_013_DB_H/S_SHIRT'}, {'Fit': 'Slim'}, {'Fabric': 'Denim'}, {'Sleeve': 'Short Sleeve'}, {'Pattern': 'Self Design'}, {'Reversible': 'No'}, {'Collar': 'Slim'}, {'Color': 'Blue'}, {'Fabric Care': 'Regular Machine Wash, Do not bleach, Dry in shade'}, {'Suitable For': 'Western Wear'}, {'Hem': 'Curved'}, {'Generic Name': 'Shirt'}, {'Country of Origin': 'India'}]",ARYACITION,891,Topwear,Men Slim Fit Self Design Slim Collar Casual Shirt,https://www.flipkart.com/atm-men-self-design-casual-blue-shirt/p/itm0358462c443d3?pid=SHTFJ2GMHK5ZTZDB&lid=LSTSHTFJ2GMHK5ZTZDB3A9HFY&marketplace=FLIPKART&srno=b_5_165&otracker=browse&fm=organic&iid=21b2e6de-761e-44e0-8c26-2239a1f1b5da.SHTFJ2GMHK5ZTZDB.SEARCH&ssid=g6gqxaomds0000001612096278103
5864b48d-0897-52cc-9149-348adcd9309f,"1,999",4,A,Clothing and Accessories,"02/11/2021, 00:35:17",ATM DENIM SHIRT FULL SLEEVE DENIM SHIRT,50% off,"['https://rukminim1.flixcart.com/image/128/128/jylvde80/shirt/r/2/6/l-tm-030-db-f-s-atm-original-imafgseqkqgrutkz.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/jylvde80/shirt/r/2/6/xl-tm-030-db-f-s-atm-original-imafgserggphxghe.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/jylvde80/shirt/r/2/6/xl-tm-030-db-f-s-atm-original-imafgserczd38edr.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/jylvde80/shirt/r/2/6/xl-tm-030-db-f-s-atm-original-imafgses3s8shjjf.jpeg?q=70']",FALSE,SHTFGSUYMY2VRU85,"[{'Pack of': '1'}, {'Model Name': 'ATM_030_DB_F/S'}, {'Style Code': 'TM_030_DB_F/S'}, {'Fit': 'Slim'}, {'Fabric': 'Denim'}, {'Sleeve': 'Full Sleeve'}, {'Pattern': 'Solid'}, {'Reversible': 'No'}, {'Collar': 'Built-up'}, {'Color': 'Dark Blue'}, {'Fabric Care': 'Regular Machine Wash, Do not bleach, Dry in shade'}, {'Suitable For': 'Western Wear'}, {'Generic Name': 'Shirt'}, {'Country of Origin': 'India'}]",ARYACITION,999,Topwear,Men Slim Fit Solid Built-up Collar Casual Shirt,https://www.flipkart.com/atm-men-solid-casual-dark-blue-shirt/p/itm6fdb9b010c674?pid=SHTFGSUYMY2VRU85&lid=LSTSHTFGSUYMY2VRU85YBYM5L&marketplace=FLIPKART&srno=b_5_167&otracker=browse&fm=organic&iid=21b2e6de-761e-44e0-8c26-2239a1f1b5da.SHTFGSUYMY2VRU85.SEARCH&ssid=g6gqxaomds0000001612096278103
cc9b3934-a4c3-5516-9feb-6d7aa87a27dd,"1,999",4,A,Clothing and Accessories,"02/11/2021, 00:35:19",ATM DENIM SHIRT FULL SLEEVE DENIM SHIRT,50% off,"['https://rukminim1.flixcart.com/image/128/128/jylvde80/shirt/h/e/n/2xl-atm-030-db-f-s-atm-original-imafgseqkqgrutkz.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/jylvde80/shirt/h/e/n/2xl-atm-030-db-f-s-atm-original-imafgserggphxghe.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/jylvde80/shirt/h/e/n/2xl-atm-030-db-f-s-atm-original-imafgserczd38edr.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/jylvde80/shirt/h/e/n/2xl-atm-030-db-f-s-atm-original-imafgses3s8shjjf.jpeg?q=70']",FALSE,SHTFGSGAR8ZFZQKE,"[{'Pack of': '1'}, {'Model Name': 'ATM_030_DB_F/S'}, {'Style Code': 'ATM_030_DB_F/S'}, {'Fit': 'Slim'}, {'Fabric': 'Denim'}, {'Sleeve': 'Full Sleeve'}, {'Pattern': 'Solid'}, {'Reversible': 'No'}, {'Collar': 'Built-up'}, {'Color': 'Dark Blue'}, {'Fabric Care': 'Regular Machine Wash, Do not bleach, Dry in shade'}, {'Suitable For': 'Western Wear'}, {'Generic Name': 'Shirt'}, {'Country of Origin': 'India'}]",ARYACITION,999,Topwear,Men Slim Fit Solid Built-up Collar Casual Shirt,https://www.flipkart.com/atm-men-solid-casual-dark-blue-shirt/p/itm1446d1e42841f?pid=SHTFGSGAR8ZFZQKE&lid=LSTSHTFGSGAR8ZFZQKEKLWMO2&marketplace=FLIPKART&srno=b_5_170&otracker=browse&fm=organic&iid=21b2e6de-761e-44e0-8c26-2239a1f1b5da.SHTFGSGAR8ZFZQKE.SEARCH&ssid=g6gqxaomds0000001612096278103
ab983529-ece6-5285-847f-ba22f4384cbc,"2,999",2.8,A,Clothing and Accessories,"02/11/2021, 00:33:56","ATM SHIRTS offers quality casual wear in the widest variety which makes it easy to choose, at prices that are easy to reach and excellent service support which makes shopping easy to enjoy. ATM SHIRTS products are made of premium fabrics to ensure the best quality and great comfort. ATM SHIRTS deals in Men's Printed T-Shirts, Full Sleeve T-shirts, Polo T-Shirts, shirts for Mens, Shirts and Jeans and we will be adding more products to keep you updated with trends. ATM SHIRTS keeps inventing to help you keep inventing exciting new experiences in your life!",66% off,"['https://rukminim1.flixcart.com/image/128/128/kfr5le80-0/shirt/y/c/n/xxl-3024-xxl-atm-original-imafw5yqvkrwh3rb.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/k612pow0/shirt/h/r/v/m-m20-3024-ltt-blue-forever-young-original-imafnryaafzgvzup.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kdqa4y80-0/shirt/k/k/k/xl-ice-indigo-denim-shirt-grand-stitch-original-imafukkxuephgwek.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/k612pow0/shirt/h/r/v/xxl-m20-3024-ltt-blue-forever-young-original-imafnrya82yx6gyh.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/k612pow0/shirt/h/r/v/l-m20-3024-ltt-blue-forever-young-original-imafnryatvjfntrt.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/k612pow0/shirt/h/r/v/m-m20-3024-ltt-blue-forever-young-original-imafnryaygg7rwqa.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/k612pow0/shirt/h/r/v/l-m20-3024-ltt-blue-forever-young-original-imafnryatxjfxqc9.jpeg?q=70']",FALSE,SHTFW5YQATFUHRHD,"[{'Pack of': '1'}, {'Style Code': '3024_XXL'}, {'Closure': 'Button'}, {'Fit': 'Regular'}, {'Fabric': 'Denim'}, {'Sleeve': 'Full Sleeve'}, {'Pattern': 'Solid'}, {'Reversible': 'No'}, {'Collar': 'Slim'}, {'Color': 'Light Blue'}, {'Fabric Care': 'Gentle Machine Wash'}, {'Suitable For': 'Western Wear'}, {'Hem': 'Curved'}]",ARYACITION,999,Topwear,Men Regular Fit Solid Slim Collar Casual Shirt,https://www.flipkart.com/atm-men-solid-casual-light-blue-shirt/p/itm5510861d9e171?pid=SHTFW5YQATFUHRHD&lid=LSTSHTFW5YQATFUHRHD178QE6&marketplace=FLIPKART&srno=b_1_5&otracker=browse&fm=organic&iid=ca9986f0-ce96-424c-a712-8364f722f499.SHTFW5YQATFUHRHD.SEARCH&ssid=m4am6k5qyo0000001612096274880
84271474-e37e-5bdb-82ff-1b3139dc1790,"2,999",2.8,A,Clothing and Accessories,"02/11/2021, 00:33:57","ATM SHIRTS offers quality casual wear in the widest variety which makes it easy to choose, at prices that are easy to reach and excellent service support which makes shopping easy to enjoy. ATM SHIRTS products are made of premium fabrics to ensure the best quality and great comfort. ATM SHIRTS deals in Men's Printed T-Shirts, Full Sleeve T-shirts, Polo T-Shirts, shirts for Mens, Shirts and Jeans and we will be adding more products to keep you updated with trends. ATM SHIRTS keeps inventing to help you keep inventing exciting new experiences in your life!",66% off,"['https://rukminim1.flixcart.com/image/128/128/kfyasnk0-0/shirt/h/p/f/xxl-9049-xl-grand-stitch-original-imafwarpwjgtkrgr.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kfyasnk0-0/shirt/s/r/7/xxl-9049-xl-grand-stitch-original-imafwarpb6dpbr8j.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kfyasnk0-0/shirt/f/h/n/xxl-9049-xl-grand-stitch-original-imafwarpevcveq8s.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kfyasnk0-0/shirt/z/j/n/xxl-9049-xl-grand-stitch-original-imafwarpyzw3bdny.jpeg?q=70']",FALSE,SHTFXY4MHVZSDSEQ,"[{'Pack of': '1'}, {'Style Code': '9049_XXL'}, {'Fit': 'Regular'}, {'Fabric': 'Denim'}, {'Sleeve': '3/4th Sleeve'}, {'Pattern': 'Solid'}, {'Reversible': 'No'}, {'Collar': 'Spread'}, {'Color': 'Black'}, {'Fabric Care': 'Gentle Machine Wash'}, {'Suitable For': 'Western Wear'}, {'Hem': 'Curved'}]",ARYACITION,999,Topwear,Men Regular Fit Solid Spread Collar Casual Shirt,https://www.flipkart.com/atm-men-solid-casual-black-shirt/p/itm025ae2c6593b8?pid=SHTFXY4MHVZSDSEQ&lid=LSTSHTFXY4MHVZSDSEQCECDQA&marketplace=FLIPKART&srno=b_1_7&otracker=browse&fm=organic&iid=ca9986f0-ce96-424c-a712-8364f722f499.SHTFXY4MHVZSDSEQ.SEARCH&ssid=m4am6k5qyo0000001612096274880
7fe233bc-cdd8-5d60-a2ec-ba8a89593f7b,"2,999",2.8,A,Clothing and Accessories,"02/11/2021, 00:33:58","ATM SHIRTS offers quality casual wear in the widest variety which makes it easy to choose, at prices that are easy to reach and excellent service support which makes shopping easy to enjoy. ATM SHIRTS products are made of premium fabrics to ensure the best quality and great comfort. ATM SHIRTS deals in Men's Printed T-Shirts, Full Sleeve T-shirts, Polo T-Shirts, shirts for Mens, Shirts and Jeans and we will be adding more products to keep you updated with trends. ATM SHIRTS keeps inventing to help you keep inventing exciting new experiences in your life!",66% off,"['https://rukminim1.flixcart.com/image/128/128/kfr5le80-0/shirt/t/j/i/l-3053-l-atm-original-imafw5yqg9qwemqf.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/k612pow0/shirt/c/j/r/l-m24-3053-blue-forever-young-original-imafnxskgc8svs4p.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/k612pow0/shirt/c/j/r/l-m24-3053-blue-forever-young-original-imafnxsk5jzbdazh.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/k612pow0/shirt/c/j/r/xxl-m24-3053-blue-forever-young-original-imafnxsktujvkhxh.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/k612pow0/shirt/c/j/r/l-m24-3053-blue-forever-young-original-imafnxskpjencmx7.jpeg?q=70']",FALSE,SHTFW5YQP7EGNSWD,"[{'Pack of': '1'}, {'Style Code': '3053_XXL'}, {'Closure': 'Button'}, {'Fit': 'Regular'}, {'Fabric': 'Denim'}, {'Sleeve': 'Half Sleeve'}, {'Pattern': 'Washed'}, {'Reversible': 'No'}, {'Collar': 'Slim'}, {'Color': 'Blue'}, {'Fabric Care': 'Gentle Machine Wash'}, {'Suitable For': 'Western Wear'}, {'Hem': 'Curved'}]",ARYACITION,999,Topwear,Men Regular Fit Washed Slim Collar Casual Shirt,https://www.flipkart.com/atm-men-washed-casual-blue-shirt/p/itm6dfc20e062990?pid=SHTFW5YQP7EGNSWD&lid=LSTSHTFW5YQP7EGNSWDH0GZLL&marketplace=FLIPKART&srno=b_1_8&otracker=browse&fm=organic&iid=ca9986f0-ce96-424c-a712-8364f722f499.SHTFW5YQP7EGNSWD.SEARCH&ssid=m4am6k5qyo0000001612096274880
3729788d-892e-50a2-bbcb-b414a6a14a0e,"2,999",2.8,A,Clothing and Accessories,"02/11/2021, 00:33:58","ATM SHIRTS offers quality casual wear in the widest variety which makes it easy to choose, at prices that are easy to reach and excellent service support which makes shopping easy to enjoy. ATM SHIRTS products are made of premium fabrics to ensure the best quality and great comfort. ATM SHIRTS deals in Men's Printed T-Shirts, Full Sleeve T-shirts, Polo T-Shirts, shirts for Mens, Shirts and Jeans and we will be adding more products to keep you updated with trends. ATM SHIRTS keeps inventing to help you keep inventing exciting new experiences in your life!",66% off,"['https://rukminim1.flixcart.com/image/128/128/kfr5le80-0/shirt/x/c/h/xxl-3051-xxl-atm-original-imafw5yqnfekzzar.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/k612pow0/shirt/r/b/v/m-m23-3051-dk-blue-forever-young-original-imafnxwxbeypmbqz.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/k612pow0/shirt/r/b/v/xxl-m23-3051-dk-blue-forever-young-original-imafnxwxeheypzm7.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/k612pow0/shirt/r/b/v/xxl-m23-3051-dk-blue-forever-young-original-imafnxwxuhgcg3fm.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/k612pow0/shirt/r/b/v/l-m23-3051-dk-blue-forever-young-original-imafnxwxncdbctzg.jpeg?q=70']",FALSE,SHTFW5YQZGWHZPCJ,"[{'Pack of': '1'}, {'Style Code': '3051_L'}, {'Closure': 'Button'}, {'Fit': 'Regular'}, {'Fabric': 'Denim'}, {'Sleeve': 'Full Sleeve'}, {'Pattern': 'Washed'}, {'Reversible': 'No'}, {'Collar': 'Mandarin'}, {'Color': 'Blue'}, {'Fabric Care': 'Gentle Machine Wash'}, {'Suitable For': 'Western Wear'}, {'Hem': 'Curved'}]",ARYACITION,999,Topwear,Men Regular Fit Washed Mandarin Collar Casual Shirt,https://www.flipkart.com/atm-men-washed-casual-blue-shirt/p/itmd63faf2809823?pid=SHTFW5YQZGWHZPCJ&lid=LSTSHTFW5YQZGWHZPCJAHGSHM&marketplace=FLIPKART&srno=b_1_10&otracker=browse&fm=organic&iid=ca9986f0-ce96-424c-a712-8364f722f499.SHTFW5YQZGWHZPCJ.SEARCH&ssid=m4am6k5qyo0000001612096274880
831841c0-d3e0-560f-aaf6-f297fe31da7a,"2,499",2.8,A,Clothing and Accessories,"02/11/2021, 00:34:04","ATM SHIRTS offers quality casual wear in the widest variety which makes it easy to choose, at prices that are easy to reach and excellent service support which makes shopping easy to enjoy. ATM SHIRTS products are made of premium fabrics to ensure the best quality and great comfort. ATM SHIRTS deals in Men's Printed T-Shirts, Full Sleeve T-shirts, Polo T-Shirts, shirts for Mens, Shirts and Jeans and we will be adding more products to keep you updated with trends. ATM SHIRTS keeps inventing to help you keep inventing exciting new experiences in your life!",64% off,"['https://rukminim1.flixcart.com/image/128/128/kgjqefk0-0/shirt/f/t/f/l-1010-black-l-atm-original-imafwr9vftfefuwz.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kgjqefk0-0/shirt/b/5/g/xl-1010-black-xl-atm-original-imafwr9w6xknxtdu.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kgjqefk0-0/shirt/e/d/m/xl-1010-black-xl-atm-original-imafwr9whasgtuj3.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kgjqefk0-0/shirt/m/4/a/xl-1010-black-xl-atm-original-imafwr9whafbhpf9.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kgjqefk0-0/shirt/t/o/5/l-1010-black-l-atm-original-imafwr9vtdwnrsbn.jpeg?q=70']",FALSE,SHTFWSD3GXZMDYEF,"[{'Pack of': '1'}, {'Style Code': '1004'}, {'Fit': 'Regular'}, {'Fabric': 'Pure Cotton'}, {'Sleeve': '3/4th Sleeve'}, {'Pattern': 'Solid'}, {'Reversible': 'Yes'}, {'Color': 'Orange'}, {'Fabric Care': 'Gentle Machine Wash'}, {'Suitable For': 'Western Wear'}]",ARYACITION,899,Topwear,Men Regular Fit Solid Casual Shirt,https://www.flipkart.com/atm-men-solid-casual-orange-shirt/p/itm6f926af80c7ea?pid=SHTFWSD3GXZMDYEF&lid=LSTSHTFWSD3GXZMDYEFRH9YA1&marketplace=FLIPKART&srno=b_1_21&otracker=browse&fm=organic&iid=ca9986f0-ce96-424c-a712-8364f722f499.SHTFWSD3GXZMDYEF.SEARCH&ssid=m4am6k5qyo0000001612096274880
5eacdd4e-3cf8-537a-b67d-037accf84442,"2,499",2.8,A,Clothing and Accessories,"02/11/2021, 00:34:05","ATM SHIRTS offers quality casual wear in the widest variety which makes it easy to choose, at prices that are easy to reach and excellent service support which makes shopping easy to enjoy. ATM SHIRTS products are made of premium fabrics to ensure the best quality and great comfort. ATM SHIRTS deals in Men's Printed T-Shirts, Full Sleeve T-shirts, Polo T-Shirts, shirts for Mens, Shirts and Jeans and we will be adding more products to keep you updated with trends. ATM SHIRTS keeps inventing to help you keep inventing exciting new experiences in your life!",64% off,"['https://rukminim1.flixcart.com/image/128/128/kgjqefk0-0/shirt/l/k/d/l-1002-pink-l-atm-original-imafwr9vyfpgbzeu.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kgjqefk0-0/shirt/y/1/l/s-1002-pink-s-atm-original-imafwr9vsv7czheu.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kgjqefk0-0/shirt/a/k/0/l-1002-pink-l-atm-original-imafwr9vhzvq5qdg.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kgjqefk0-0/shirt/j/l/q/l-1002-pink-l-atm-original-imafwr9vfvrpntxp.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kgjqefk0-0/shirt/d/8/z/l-1002-pink-l-atm-original-imafwr9vgzhdz69m.jpeg?q=70']",FALSE,SHTFWSD32NYNX2PQ,"[{'Pack of': '1'}, {'Style Code': '1002'}, {'Fit': 'Regular'}, {'Fabric': 'Pure Cotton'}, {'Sleeve': '3/4th Sleeve'}, {'Pattern': 'Solid'}, {'Reversible': 'Yes'}, {'Color': 'Orange'}, {'Fabric Care': 'Gentle Machine Wash'}, {'Suitable For': 'Western Wear'}]",ARYACITION,899,Topwear,Men Regular Fit Solid Casual Shirt,https://www.flipkart.com/atm-men-solid-casual-orange-shirt/p/itm759c106b80f6c?pid=SHTFWSD32NYNX2PQ&lid=LSTSHTFWSD32NYNX2PQOO4GG4&marketplace=FLIPKART&srno=b_1_22&otracker=browse&fm=organic&iid=ca9986f0-ce96-424c-a712-8364f722f499.SHTFWSD32NYNX2PQ.SEARCH&ssid=m4am6k5qyo0000001612096274880
3370c45f-a835-57bb-b785-ca54ea4c5830,"2,499",2.8,A,Clothing and Accessories,"02/11/2021, 00:34:05","ATM SHIRTS offers quality casual wear in the widest variety which makes it easy to choose, at prices that are easy to reach and excellent service support which makes shopping easy to enjoy. ATM SHIRTS products are made of premium fabrics to ensure the best quality and great comfort. ATM SHIRTS deals in Men's Printed T-Shirts, Full Sleeve T-shirts, Polo T-Shirts, shirts for Mens, Shirts and Jeans and we will be adding more products to keep you updated with trends. ATM SHIRTS keeps inventing to help you keep inventing exciting new experiences in your life!",64% off,"['https://rukminim1.flixcart.com/image/128/128/kgjqefk0-0/shirt/r/2/n/l-1008-skyblue-l-atm-original-imafwr9vvvzfbdcv.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kgjqefk0-0/shirt/r/i/j/xl-1009-skyblue-xl-atm-original-imafwr9vcptgm7tp.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kgjqefk0-0/shirt/f/h/7/m-1007-skyblue-m-atm-original-imafwr9vwguapyx9.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kgjqefk0-0/shirt/i/h/4/xl-1009-skyblue-xl-atm-original-imafwr9vx9xr3fsy.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kgjqefk0-0/shirt/t/v/a/l-1008-skyblue-l-atm-original-imafwr9vchgsqemb.jpeg?q=70']",FALSE,SHTFWSD3DJWS77XZ,"[{'Pack of': '1'}, {'Style Code': '1004'}, {'Fit': 'Regular'}, {'Fabric': 'Pure Cotton'}, {'Sleeve': 'Full Sleeve'}, {'Pattern': 'Solid'}, {'Reversible': 'Yes'}, {'Color': 'Orange'}, {'Fabric Care': 'Gentle Machine Wash'}, {'Suitable For': 'Western Wear'}]",ARYACITION,899,Topwear,Men Regular Fit Solid Casual Shirt,https://www.flipkart.com/atm-men-solid-casual-orange-shirt/p/itmcd031229ba245?pid=SHTFWSD3DJWS77XZ&lid=LSTSHTFWSD3DJWS77XZP7G2TM&marketplace=FLIPKART&srno=b_1_23&otracker=browse&fm=organic&iid=ca9986f0-ce96-424c-a712-8364f722f499.SHTFWSD3DJWS77XZ.SEARCH&ssid=m4am6k5qyo0000001612096274880
eb243afc-dc93-5364-bea1-5713cfc81788,"2,499",2.8,A,Clothing and Accessories,"02/11/2021, 00:34:06","ATM SHIRTS offers quality casual wear in the widest variety which makes it easy to choose, at prices that are easy to reach and excellent service support which makes shopping easy to enjoy. ATM SHIRTS products are made of premium fabrics to ensure the best quality and great comfort. ATM SHIRTS deals in Men's Printed T-Shirts, Full Sleeve T-shirts, Polo T-Shirts, shirts for Mens, Shirts and Jeans and we will be adding more products to keep you updated with trends. ATM SHIRTS keeps inventing to help you keep inventing exciting new experiences in your life!",64% off,"['https://rukminim1.flixcart.com/image/128/128/kgjqefk0-0/shirt/3/r/v/xl-1010-orange-xl-atm-original-imafwr9vrf6fhmwh.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kgjqefk0-0/shirt/c/r/o/xl-1010-orange-xl-atm-original-imafwr9vvxh3cdhg.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kgjqefk0-0/shirt/c/m/l/xl-1010-orange-xl-atm-original-imafwr9vxafhv87q.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kgjqefk0-0/shirt/v/3/c/xl-1010-orange-xl-atm-original-imafwr9vfjgffrax.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kgjqefk0-0/shirt/j/b/b/xl-1010-orange-xl-atm-original-imafwr9vuqsjqjek.jpeg?q=70']",FALSE,SHTFWSD3GPZJGEHY,"[{'Pack of': '1'}, {'Style Code': '1004'}, {'Fit': 'Regular'}, {'Fabric': 'Pure Cotton'}, {'Sleeve': '3/4th Sleeve'}, {'Pattern': 'Solid'}, {'Reversible': 'Yes'}, {'Color': 'Orange'}, {'Fabric Care': 'Gentle Machine Wash'}, {'Suitable For': 'Western Wear'}]",ARYACITION,899,Topwear,Men Regular Fit Solid Casual Shirt,https://www.flipkart.com/atm-men-solid-casual-orange-shirt/p/itmfe3e7f434aeb0?pid=SHTFWSD3GPZJGEHY&lid=LSTSHTFWSD3GPZJGEHYTP46Z9&marketplace=FLIPKART&srno=b_1_24&otracker=browse&fm=organic&iid=ca9986f0-ce96-424c-a712-8364f722f499.SHTFWSD3GPZJGEHY.SEARCH&ssid=m4am6k5qyo0000001612096274880
64d1552e-30bf-569f-aaad-c6e024be5605,"2,499",2.8,A,Clothing and Accessories,"02/11/2021, 00:34:06","ATM SHIRTS offers quality casual wear in the widest variety which makes it easy to choose, at prices that are easy to reach and excellent service support which makes shopping easy to enjoy. ATM SHIRTS products are made of premium fabrics to ensure the best quality and great comfort. ATM SHIRTS deals in Men's Printed T-Shirts, Full Sleeve T-shirts, Polo T-Shirts, shirts for Mens, Shirts and Jeans and we will be adding more products to keep you updated with trends. ATM SHIRTS keeps inventing to help you keep inventing exciting new experiences in your life!",60% off,"['https://rukminim1.flixcart.com/image/128/128/kgjqefk0-0/shirt/2/d/e/m-1003-blue-m-atm-original-imafwr9vapt5ptbe.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kgjqefk0-0/shirt/0/l/h/m-1003-blue-m-atm-original-imafwr9venczzuch.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kgjqefk0-0/shirt/j/d/1/m-1003-blue-m-atm-original-imafwr9vhy3pbzfh.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kgjqefk0-0/shirt/w/f/z/m-1003-blue-m-atm-original-imafwr9vhphgdnk2.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kgjqefk0-0/shirt/j/k/u/m-1003-blue-m-atm-original-imafwr9vkas4q3yb.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kgjqefk0-0/shirt/z/p/a/m-1003-blue-m-atm-original-imafwr9vapppg6ga.jpeg?q=70']",FALSE,SHTFWR9V29MHWPUA,"[{'Pack of': '1'}, {'Style Code': '1003 BLUE_M'}, {'Fit': 'Regular'}, {'Fabric': 'Pure Cotton'}, {'Sleeve': 'Full Sleeve'}, {'Pattern': 'Solid'}, {'Reversible': 'Yes'}, {'Color': 'Blue'}, {'Fabric Care': 'Gentle Machine Wash'}, {'Suitable For': 'Western Wear'}]",ARYACITION,999,Topwear,Men Regular Fit Solid Casual Shirt,https://www.flipkart.com/atm-men-solid-casual-blue-shirt/p/itm7a6123df9ef21?pid=SHTFWR9V29MHWPUA&lid=LSTSHTFWR9V29MHWPUAXLOVOJ&marketplace=FLIPKART&srno=b_1_25&otracker=browse&fm=organic&iid=ca9986f0-ce96-424c-a712-8364f722f499.SHTFWR9V29MHWPUA.SEARCH&ssid=m4am6k5qyo0000001612096274880
